guia,periodo,titulo,tex,pdf,docx,estado_pdf,mensaje,doc
1-6-TIC,Primero,Diagnóstico tecnológico y reconocimiento de la sala de sistemas — normas de seguridad y convivencia,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/tex/1-6-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/pdf/1-6-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/docx/1-6-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/doc/1-6-TIC.doc
2-6-TIC,Primero,Concepto de identidad digital y huella digital — la Oikeiôsis estoica aplicada al entorno virtual,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/tex/2-6-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/pdf/2-6-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/docx/2-6-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/doc/2-6-TIC.doc
3-6-TIC,Primero,Creación y configuración del correo institucional Microsoft 365 — firma profesional y bandeja de entrada,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/tex/3-6-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/pdf/3-6-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/docx/3-6-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/doc/3-6-TIC.doc
4-6-TIC,Primero,Netiqueta: protocolos de comunicación digital profesional — simulaciones de correo formal,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/tex/4-6-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/pdf/4-6-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/docx/4-6-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/doc/4-6-TIC.doc
5-6-TIC,Primero,Historia de los medios de comunicación I: de señales de humo al telégrafo — análisis dusseliano,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/tex/5-6-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/pdf/5-6-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/docx/5-6-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/doc/5-6-TIC.doc
6-6-TIC,Primero,Historia de los medios de comunicación II: de la radio a la fibra óptica — impacto en la velocidad informacional,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/tex/6-6-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/pdf/6-6-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/docx/6-6-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/doc/6-6-TIC.doc
7-6-TIC,Primero,Taller práctico: redacción de correos formales con diferentes propósitos comunicativos,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/tex/7-6-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/pdf/7-6-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/docx/7-6-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/doc/7-6-TIC.doc
8-6-TIC,Primero,"Seguridad en la comunicación digital: phishing, spam y protección de datos personales básicos",/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/tex/8-6-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/pdf/8-6-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/docx/8-6-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/doc/8-6-TIC.doc
9-6-TIC,Primero,Proyecto MILC Escuta: entrevista ética a un adulto mayor sobre la evolución de la comunicación en su vida,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/tex/9-6-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/pdf/9-6-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/docx/9-6-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/doc/9-6-TIC.doc
10-6-TIC,Primero,Socialización de hallazgos y evaluación de periodo — portafolio digital del inforg,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/tex/10-6-TIC.tex,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/pdf/10-6-TIC.pdf,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/docx/10-6-TIC.docx,ok,ok,/Users/alvarocardenasorozco/Desktop/PROYECTOS/ACADEMICO/GUIAS_TIC_MILC_NUEVAS/sexto/doc/10-6-TIC.doc
